21700	0.023988	19.4461
21800	0.018027	20.8979
21900	0.022286	19.4961
22000	0.017813	20.8228
22100	0.014003	21.6556
22200	0.026344	19.2015
22300	0.021931	19.9635
22400	0.017939	20.8166
22500	0.018092	20.6185
22600	0.029196	18.8255
22700	0.019612	19.8997
22800	0.026410	19.0275
22900	0.010393	23.2942
23000	0.019718	20.1464
23100	0.020779	19.9696
23200	0.017455	20.4501
23300	0.012280	22.4867
23400	0.024646	19.2565
23500	0.025970	19.0437
23600	0.020029	20.0989
23700	0.023228	19.4063
23800	0.028348	18.5648
23900	0.012282	22.2030
24000	0.011967	22.2760
24100	0.024884	19.3582
24200	0.019006	20.7014
24300	0.017842	20.7593
24400	0.023062	19.4770
24500	0.010608	23.5068
24600	0.015185	21.2298
24700	0.014215	21.3659
24800	0.021725	20.0707
24900	0.027720	18.8359
25000	0.021809	19.7371
25100	0.017360	20.9316
25200	0.015497	21.2410
25300	0.020467	19.8954
25400	0.021057	19.6133
25500	0.014465	21.2299
25600	0.017813	20.8693
25700	0.013693	21.9084
25800	0.022088	19.8331
25900	0.016513	21.0719
26000	0.020233	20.1188
26100	0.024191	19.7936
26200	0.020360	20.1098
26300	0.019834	20.6790
26400	0.021028	20.1127
26500	0.022731	19.7317
26600	0.012308	22.1249
26700	0.009391	23.3947
26800	0.022054	19.5926
26900	0.021176	20.1227
27000	0.021160	20.5234
27100	0.016018	21.1348
27200	0.017291	20.9043
27300	0.020009	20.3450
27400	0.018406	20.3327
27500	0.021849	19.8752
27600	0.018384	20.4828
27700	0.017409	20.8463
27800	0.017007	20.5893
27900	0.025647	19.1137
28000	0.012967	21.9987
28100	0.011998	22.7447
28200	0.017647	20.8277
28300	0.012729	22.0837
28400	0.021750	19.3147
28500	0.018428	20.7211
28600	0.008860	23.7650
28700	0.018144	20.7524
28800	0.015451	21.5771
28900	0.020543	20.3305
29000	0.020819	19.8824
29100	0.020828	20.1190
29200	0.018738	20.6405
29300	0.018320	20.5216
29400	0.020318	20.3299
29500	0.017200	21.0132
29600	0.011958	22.0296
29700	0.019395	20.3907
29800	0.019401	20.6100
29900	0.019794	20.5523
30000	0.022145	19.9020
30100	0.018385	20.7732
30200	0.018437	20.6602
30300	0.014552	21.6536
30400	0.021046	19.8589
30500	0.020673	20.3086
30600	0.023978	19.5030
30700	0.018818	20.3490
30800	0.019111	20.4073
30900	0.020000	20.5144
31000	0.018566	20.5459
31100	0.017329	20.8915
31200	0.023822	19.4101
31300	0.013838	21.4403
31400	0.018557	20.4459
31500	0.016610	21.0903
31600	0.017764	21.1507
31700	0.020043	20.6533
31800	0.019638	20.4593
31900	0.010289	23.1054
32000	0.020912	20.2572
32100	0.017486	20.5846
32200	0.020414	19.9510
32300	0.020238	20.5039
32400	0.018704	20.1641
32500	0.022553	19.8221
32600	0.012012	22.4509
32700	0.019069	20.5733
32800	0.014480	21.5082
32900	0.018014	20.4898
33000	0.019171	20.1490
33100	0.021366	20.1667
33200	0.017791	20.8668
